day,date,time,tier,slug,lane,hook
1,2026-09-22,,warm-up,,,Warm-up only. Do not post.
2,2026-09-23,,warm-up,,,Warm-up only. Do not post.
3,2026-09-24,,warm-up,,,Warm-up only. Do not post.
4,2026-09-25,09:00,broad,broad-why-so-tired,sleep,Here's exactly why everyone in their 20s is exhausted…
5,2026-09-26,09:00,broad,broad-sunday-night,sleep,Here's exactly why you can't sleep on Sunday nights…
6,2026-09-27,09:00,broad,broad-screen-time,sleep,Here's exactly how bad my screen time got…
7,2026-09-28,09:00,core,sleep-wake-at-3am,sleep,Here's exactly why you keep waking up at 3am…
8,2026-09-29,09:00,core,blood-always-cold,bloodwork,Here's exactly why you're always cold…
9,2026-09-30,09:00,core,blood-hrv-low,bloodwork,Here's exactly why your HRV is so low…
10,2026-10-01,09:00,core,nof1-magnesium-form,nof1,Here's exactly why your magnesium does nothing…
11,2026-10-02,09:00,core,nof1-what-didnt-work,nof1,Here's exactly what 14 nights of magnesium spray did…
11,2026-10-02,14:00,soft,app-chronotype,sleep,6 sleep types. Here's exactly which one you are…
12,2026-10-03,09:00,core,sleep-5-non-supplement,sleep,5 ways to fix your sleep without buying anything…
12,2026-10-03,14:00,soft,blood-tired-normal-labs,bloodwork,Here's exactly why you're exhausted with “normal” labs…
13,2026-10-04,09:00,soft,stack-quit-one,stack,Here's exactly how to find the supplements doing nothing…
13,2026-10-04,14:00,soft,nof1-caffeine-cutoff,nof1,Here's exactly what moving your coffee 4 hours does…
14,2026-10-05,09:00,soft,nof1-how-to-run-one,nof1,5 rules for testing anything on yourself…
14,2026-10-05,14:00,soft,sleep-deep-sleep-fix,sleep,4 reasons your deep sleep is so low…
15,2026-10-06,09:00,soft,sleep-magnesium-14-nights,sleep,Here's exactly what magnesium did to my deep sleep…
15,2026-10-06,14:00,soft,stack-cant-tell,stack,4 reasons you can't tell if a supplement is working…
16,2026-10-07,09:00,broad,broad-coffee-personality,nof1,Here's exactly how many coffees it takes me to function…
16,2026-10-07,14:00,broad,broad-morning-routine-lie,sleep,Here's exactly what every 5am routine video leaves out…
17,2026-10-08,09:00,broad,broad-gym-year,nof1,5 things a year of the gym actually changed…
18,2026-10-09,09:00,hard,nof1-sleep-debt-rebound,sleep,Here's exactly how to clear 9 hours of sleep debt…
19,2026-10-10,09:00,hard,stack-huberman-1000h,stack,5 protocols Huberman repeats the most…
20,2026-10-11,09:00,hard,app-says-no,nof1,Here's exactly how to know a supplement isn't working…
